This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","2"
"CWNC","COBOURG (MAR",-78.1700,43.9500,78,"ASOS","407"
"CYBG","BAGOTVILLE(C",-71.0000,48.3300,159,"ASOS","720"
"CYBR","BRANDON AIRP",-99.9500,49.9200,409,"ASOS","724"
"CYEN","ESTEVAN AIRP",-102.9700,49.2200,581,"ASOS","754"
"CYFC","FREDERICTON",-66.5300,45.8700,20,"ASOS","759"
"CYHE","HOPE AIRPORT",-121.4800,49.3700,39,"ASOS","779"
"CYMT","CHIBOUGAMAU-",-74.5300,49.7700,387,"ASOS","819"
"CYOW","OTTAWA INTL",-75.6700,45.3200,114,"ASOS","831"
"CYQG","WINDSOR AIRP",-82.9700,42.2700,190,"ASOS","852"
"CYQQ","COMOX (CAN-M",-124.9000,49.7200,24,"ASOS","858"
"CYQT","THUNDER BAY",-89.3200,48.3700,199,"ASOS","860"
"CYSB","SUDBURY AIRP",-80.8000,46.6200,348,"ASOS","875"
"CYTS","TIMMINS AIRP",-81.3700,48.5700,295,"ASOS","895"
"CYUL","MONTREAL/DOR",-73.7500,45.4700,36,"ASOS","902"
"CYUY","ROUYN AIRPOR",-78.8300,48.2000,301,"ASOS","908"
"CYVO","VAL D'OR AIR",-77.7800,48.0700,337,"ASOS","911"
"CYVR","VANCOUVER IN",-123.1700,49.1800,2,"ASOS","914"
"CYVV","WIARTON AIRP",-81.1000,44.7500,222,"ASOS","916"
"CYWA","PETAWAWA A,O",-77.3200,45.9500,130,"ASOS","917"
"CYXC","CRANBROOK AI",-115.7800,49.6000,939,"ASOS","926"
"CYXX","ABBOTSFORD A",-122.3700,49.0300,58,"ASOS","939"
"CYYB","NORTH BAY AI",-79.4300,46.3500,371,"ASOS","942"
"CYYF","PENTICTON AI",-119.6000,49.4700,344,"ASOS","946"
"CYYJ","VICTORIA INT",-123.4300,48.6500,19,"ASOS","949"
"CYYY","MONT JOLI AI",-68.2200,48.6000,52,"ASOS","957"
"CYZE","GORE BAY AIR",-82.5700,45.8800,193,"ASOS","959"
